listing_id,number_of_reviews,first_review,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
670009,13,3/24/15,10/15/15,1.36,72,8,7,8,8,9,8
670021,11,9/9/12,9/17/15,0.27,76,8,7,9,9,8,7
670056,15,10/1/12,9/20/15,0.38,85,9,9,10,10,9,9
670262,2,2/8/13,12/1/14,0.06,100,10,10,10,10,10,9
671828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674113,190,10/20/13,12/1/15,7.06,96,10,10,10,10,9,10
677266,59,9/18/12,11/25/15,1.47,92,9,9,9,9,9,9
682135,7,10/29/13,9/27/15,0.26,96,10,10,10,10,10,10
685600,8,8/10/14,5/4/15,0.47,100,10,9,10,10,10,10
689309,5,1/9/13,4/14/14,0.14,100,10,10,10,10,10,10
692080,1,1/28/15,1/28/15,0.09,NA,NA,NA,NA,NA,NA,NA
692671,50,9/25/12,10/5/15,1.25,95,10,10,10,10,9,10
693956,1,11/28/12,11/28/12,0.03,97,10,10,10,10,8,10
696004,64,11/26/12,9/9/15,1.69,92,9,10,10,10,8,9
699460,151,10/15/12,12/18/15,3.85,97,10,10,10,10,10,10
699596,136,9/26/12,9/7/15,3.41,97,10,10,10,10,10,10
703058,86,9/25/12,12/30/15,2.16,99,10,10,10,10,10,10
704477,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704764,112,12/17/12,12/4/15,3.02,97,10,10,10,10,10,10
706385,188,10/30/12,12/30/15,4.85,100,10,10,10,10,10,10
707424,26,1/2/13,9/15/15,0.71,95,10,10,10,10,9,9
708774,47,12/13/12,11/27/15,1.26,95,10,10,10,10,10,10
714043,36,10/2/12,11/13/15,0.91,96,10,9,10,10,9,9
716829,1,4/26/13,4/26/13,0.03,71,10,6,6,4,8,8
719233,255,10/3/12,11/29/15,6.43,85,8,8,9,9,9,9
722537,34,4/11/13,12/18/15,1.02,96,10,9,9,10,10,9
723723,49,10/15/12,9/1/15,1.25,93,9,10,10,10,9,9
723846,43,2/1/13,12/5/15,1.21,96,10,10,10,10,9,10
741699,145,3/4/13,10/26/15,4.19,95,10,9,10,10,9,9
745099,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746380,94,11/12/12,12/6/15,2.45,95,10,10,10,10,9,10
748526,38,11/27/12,10/13/15,1.01,91,9,10,10,10,9,9
749758,13,5/13/13,11/28/15,0.4,85,9,9,10,10,9,9
752483,13,12/28/12,9/20/15,0.35,95,9,9,10,10,10,9
755613,46,12/11/12,9/28/15,1.23,96,9,9,10,10,9,9
757840,98,11/11/12,12/5/15,2.56,98,10,10,10,10,10,10
762029,191,11/5/12,1/1/16,4.96,97,10,10,10,10,9,10
769213,164,10/20/13,1/2/16,6.1,98,10,10,10,10,10,10
774659,40,12/21/12,1/2/16,1.08,97,10,10,10,10,9,10
777159,19,8/6/13,8/30/15,0.65,93,9,9,10,10,9,9
781474,1,4/3/13,4/3/13,0.03,90,NA,10,10,10,8,10
783061,34,11/30/12,11/23/15,0.9,97,10,9,10,10,10,10
785830,2,8/16/14,8/14/15,0.12,100,10,10,9,10,9,10
788146,24,12/11/12,10/25/14,0.64,97,10,10,10,10,9,10
789229,45,4/2/13,12/22/15,1.34,94,10,9,10,10,9,9
789966,56,2/18/13,9/27/15,1.6,96,10,10,10,10,9,9
790860,1,5/1/15,5/1/15,0.12,NA,NA,NA,NA,NA,NA,NA
793629,109,12/23/12,11/25/15,2.95,95,10,10,10,10,9,10
794633,270,5/5/13,12/21/15,8.31,98,10,10,10,10,10,10
796594,22,1/25/13,8/3/15,0.61,94,9,9,10,10,10,9
797358,67,10/22/14,12/15/15,4.57,99,10,10,10,10,9,10
799882,32,12/2/12,12/5/15,0.85,96,9,9,10,10,10,10
803902,7,6/17/13,8/25/15,0.23,97,10,10,9,10,10,10
808134,5,9/15/13,12/1/15,0.18,95,9,10,10,10,10,10
808811,45,9/5/13,12/24/15,1.58,90,9,8,10,10,10,9
815017,136,12/3/12,11/16/15,3.62,94,10,8,10,10,10,9
817115,121,12/15/12,12/20/15,3.25,93,10,9,10,10,9,9
823989,55,1/6/13,12/1/15,1.51,92,9,9,9,9,8,9
825574,40,7/23/14,12/10/15,2.26,98,10,10,10,10,10,9
826436,39,12/11/12,9/26/15,1.04,92,9,9,10,10,9,9
828298,14,1/29/13,11/22/15,0.39,92,9,10,10,10,10,10
830948,3,5/19/13,9/15/15,0.09,100,9,10,10,10,9,9
835149,263,1/3/13,12/13/15,7.19,96,10,10,10,10,10,10
838764,17,3/16/13,1/3/16,0.5,96,10,10,10,10,10,10
841049,279,12/28/12,12/14/15,7.59,95,10,10,10,10,10,10
841140,13,1/3/13,10/26/14,0.36,98,10,10,10,10,10,10
841274,69,3/27/13,12/29/15,2.04,95,10,10,10,10,10,10
843812,10,3/11/13,10/20/15,0.29,96,10,10,10,10,9,10
844939,12,2/22/13,12/18/15,0.34,96,10,10,9,10,10,10
856550,173,1/3/13,1/1/16,4.73,97,10,10,10,10,9,10
859467,48,4/8/13,11/30/15,1.44,89,9,8,9,9,10,9
